ID	TAID	Type	TextID	WordID	StartChar	FinishChar	StartPara	FinishPara	Weight	Preview	Text	Author	Date	CommentL	GroupID	PosX1	PosX2	Page	IsText	Area	Coverage	TooltipVars	Memos	SegType	SegPosType	SegPos1StdUnit	SegPos1X	SegPos1Y	SegPos1Z	SegPos1W	SegPos1U	SegPos1V	SegPos2StdUnit	SegPos2X	SegPos2Y	SegPos2Z	SegPos2W	SegPos2U	SegPos2V	ContentFlag	GeoLinkID	MemoID	LastChgUser	LastChgDate
6	6	0	2	4					0	ich	BLOB	anonymous	2018-01-25T17:36:24.563		0					3	0.0463034418891804		BLOB	0	1	6	1659	0	0	6	0	0	6	1662	0	0	6	0	0	0	0	0	anonymous	2018-03-27T10:00:46.437
7	7	0	2	4					0	ich	BLOB	anonymous	2018-01-25T17:36:49.227		0					3	0.0463034418891804		BLOB	0	1	8	2412	0	0	8	0	0	8	2415	0	0	8	0	0	0	0	0	anonymous	2018-03-27T10:00:46.439
8	8	0	2	4					0	ich	BLOB	anonymous	2018-01-25T17:42:17.010		0					3	0.0463034418891804		BLOB	0	1	14	3889	0	0	14	0	0	14	3892	0	0	14	0	0	0	0	0	anonymous	2018-03-27T10:00:46.441
9	9	0	2	4					0	ich	BLOB	anonymous	2018-01-25T18:52:46.609		0					3	0.0463034418891804		BLOB	0	1	16	4730	0	0	16	0	0	16	4733	0	0	16	0	0	0	0	0	anonymous	2018-03-27T10:00:46.444
10	10	0	2	4					0	ich	BLOB	anonymous	2018-01-25T18:53:00.569		0					3	0.0463034418891804		BLOB	0	1	18	5596	0	0	18	0	0	18	5599	0	0	18	0	0	0	0	0	anonymous	2018-03-27T10:00:46.446
11	11	0	3	8					0	ich	BLOB	anonymous	2018-01-25T18:53:44.945		0					3	0.185528756957328		BLOB	0	1	2	32	0	0	2	0	0	2	35	0	0	2	0	0	0	0	0	anonymous	2018-03-27T10:00:46.459
12	12	0	3	8					0	ich	BLOB	anonymous	2018-01-25T18:53:53.375		0					3	0.185528756957328		BLOB	0	1	2	70	0	0	2	0	0	2	73	0	0	2	0	0	0	0	0	anonymous	2018-03-27T10:00:46.462
13	13	0	3	8					0	Ich	BLOB	anonymous	2018-01-25T18:53:59.209		0					3	0.185528756957328		BLOB	0	1	2	104	0	0	2	0	0	2	107	0	0	2	0	0	0	0	0	anonymous	2018-03-27T10:00:46.464
14	14	0	3	8					0	Ich	BLOB	anonymous	2018-01-25T18:54:06.719		0					3	0.185528756957328		BLOB	0	1	2	167	0	0	2	0	0	2	170	0	0	2	0	0	0	0	0	anonymous	2018-03-27T10:00:46.467
15	15	0	3	8					0	ich	BLOB	anonymous	2018-01-25T18:54:14.121		0					3	0.185528756957328		BLOB	0	1	2	192	0	0	2	0	0	2	195	0	0	2	0	0	0	0	0	anonymous	2018-03-27T10:00:46.469
