ID	Idx	GroupID	State	Type	Text	Name	Date	Codes	Memos	MemoID	Author	Size	DocType	MediaFileX	ScaleFactor	CodesWndWidth	ScrollPosPage	ScrollPosX	ScrollPosY	SelPage	SelX1	SelY1	SelX2	SelY2	ExtLink1	ExtLink2	ExtLink3	RIS-TY	RIS-AU	RIS-TI	RIS-ID	RIS-PY	Data	CodTemp	Data2	PlainTextWin	PlainTextMac	GeoLinkID	Color	LastChgUser	LastChgDate
21	295	0	1	0	BLOB	BA-final_14-12-08_04-13-10	2018-01-18T12:05:30.508	0	0	0	anonymous	30181	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:29.911
22	296	0	1	0	BLOB	BA-Flucht_16-10-18_07-22-61_SB02	2018-01-18T12:05:30.979	0	0	0	anonymous	12989	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:29.957
23	297	0	1	0	BLOB	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	2018-01-18T12:05:31.458	4	0	0	anonymous	13138	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:37.681
24	298	0	1	0	BLOB	BA-Formen-von-Gewalt_13-04-03_01-18-93_SB16	2018-01-18T12:05:31.940	0	0	0	anonymous	12557	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:30.019
25	299	0	1	0	BLOB	BA-Gehorsam_16-09-01_23-05-50_SB02	2018-01-18T12:05:32.387	0	0	0	anonymous	14357	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:30.071
26	300	0	1	0	BLOB	BA-Historie_15-03-19_24-24-59_SB02	2018-01-18T12:05:32.823	0	0	0	anonymous	8512	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:30.110
27	301	0	1	0	BLOB	BA-Instrumente-der_13-10-21_01-25-17_SB12	2018-01-18T12:05:33.205	3	0	0	anonymous	17276	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:37.707
28	302	0	1	0	BLOB	BA-ITIL-2011-Edition_15-03-23_24-24-59_SB02	2018-01-18T12:05:35.038	15	0	0	anonymous	260534	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:37.778
29	303	0	1	0	BLOB	BA-ITSM-2011-Science_15-04-24_24-24-59	2018-01-18T12:05:35.321	2	0	0	anonymous	2989220	1		656.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-02-07T19:16:27.828
30	304	0	1	0	BLOB	BA-Kindergarten_15-05-11_15-23-51_SB20	2018-01-18T12:05:36.083	17	0	0	anonymous	12633	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-27T09:35:38.175
