ID	Idx	WordID	State	Type	Name	MemoID	Codes	ActiveCodes	Author	Date	Variable	CatVariable	DocID	Alias	GeoLinkID	FgCodingsCount	FgCodedCharsCount	Color	LastChgUser	LastChgDate
1	1	3	1	0	Forscher-Ich	0	41		anonymous	2018-01-18T12:53:15.295	0	0	0		0	0	0	4278190335	anonymous	2018-03-16T15:08:57.556
2	4	3	1	0	Forscher-Ich*	0	57		anonymous	2018-01-18T12:53:49.166	0	0	0		0	0	0	4278190335	anonymous	2018-03-16T15:13:53.561
3	0	0	1	0	Schreiber-Ich	0	0		anonymous	2018-01-18T12:54:15.040	0	0	0		0	0	0	4278190335	anonymous	2018-01-18T12:54:15.040
4	2	3	1	0	Verfasser-Ich	0	384		anonymous	2018-01-18T12:54:30.794	0	0	0		0	0	0	4278190335	anonymous	2018-03-16T15:39:36.919
5	5	3	1	0	Verfasser-Ich*	0	24		anonymous	2018-01-18T12:54:43.243	0	0	0		0	0	0	4278190335	anonymous	2018-03-16T14:21:58.461
6	0	3	1	0	Erzähler-Ich	0	296		anonymous	2018-01-18T12:54:55.041	0	0	0		0	0	0	4278190335	anonymous	2018-03-16T15:40:13.468
7	3	3	1	0	Erzähler-Ich*	0	9		anonymous	2018-01-18T12:55:04.096	0	0	0		0	0	0	4278190335	anonymous	2018-03-16T13:04:00.397
8	1	9	1	0	SB-Ich	0	457		anonymous	2018-01-18T12:55:48.315	0	0	0		0	0	0	4294934528	anonymous	2018-03-16T15:39:46.021
9	2	0	1	0	SB	0	0		anonymous	2018-01-18T12:56:28.925	0	0	0		0	0	0	4294934528	anonymous	2018-03-16T14:34:14.726
10	0	9	1	0	"SB thematisiert ""Ich"""	0	12		anonymous	2018-01-18T12:56:45.802	0	0	0		0	0	0	4294934528	anonymous	2018-03-16T11:47:56.865
11	1	0	1	0	Sonstige	0	0		anonymous	2018-01-18T12:57:27.289	0	0	0		0	0	0	4278255360	anonymous	2018-01-18T12:57:27.289
12	1	11	1	0	"""Ich"" in Beispielen,Zitaten etc"	0	1374		anonymous	2018-01-18T12:57:54.522	0	0	0		0	0	0	4278255360	anonymous	2018-03-31T22:11:35.219
13	2	11	1	0	"""Ich"" stellvertr. für Allgemeinheit"	0	42		anonymous	2018-01-18T13:00:00.299	0	0	0		0	0	0	4278255360	anonymous	2018-03-16T13:42:43.620
14	0	11	1	0	Eid	0	42		anonymous	2018-01-18T13:00:10.769	0	0	0		0	0	0	4278255360	anonymous	2018-03-16T14:29:29.042
