ID	TAID	Type	TextID	WordID	StartChar	FinishChar	StartPara	FinishPara	Weight	Preview	Text	Author	Date	CommentL	GroupID	PosX1	PosX2	Page	IsText	Area	Coverage	TooltipVars	Memos	SegType	SegPosType	SegPos1StdUnit	SegPos1X	SegPos1Y	SegPos1Z	SegPos1W	SegPos1U	SegPos1V	SegPos2StdUnit	SegPos2X	SegPos2Y	SegPos2Z	SegPos2W	SegPos2U	SegPos2V	ContentFlag	GeoLinkID	MemoID	LastChgUser	LastChgDate
4	4	0	2	4					0	ich	BLOB	anonymous	2018-01-18T16:46:42.517		0					3	0.0463034418891804		BLOB	0	1	6	1659	0	0	6	0	0	6	1662	0	0	6	0	0	0	0	0	anonymous	2018-01-18T16:46:42.517
5	5	0	2	4					0	ich	BLOB	anonymous	2018-01-18T16:47:00.120		0					3	0.0463034418891804		BLOB	0	1	8	2412	0	0	8	0	0	8	2415	0	0	8	0	0	0	0	0	anonymous	2018-01-18T16:47:00.120
6	6	0	2	4					0	ich	BLOB	anonymous	2018-01-25T12:19:15.017		0					3	0.0463034418891804		BLOB	0	1	14	3889	0	0	14	0	0	14	3892	0	0	14	0	0	0	0	0	anonymous	2018-01-25T12:19:15.017
7	7	0	2	4					0	ich	BLOB	anonymous	2018-01-25T12:20:44.062		0					3	0.0463034418891804		BLOB	0	1	16	4730	0	0	16	0	0	16	4733	0	0	16	0	0	0	0	0	anonymous	2018-01-25T12:20:44.062
8	8	0	2	4					0	ich	BLOB	anonymous	2018-01-25T12:20:53.189		0					3	0.0463034418891804		BLOB	0	1	18	5596	0	0	18	0	0	18	5599	0	0	18	0	0	0	0	0	anonymous	2018-01-25T12:20:53.190
9	9	0	3	8					0	ich	BLOB	anonymous	2018-01-25T12:21:10.326		0					3	0.185528756957328		BLOB	0	1	2	32	0	0	2	0	0	2	35	0	0	2	0	0	0	0	0	anonymous	2018-01-25T12:21:10.326
10	10	0	3	8					0	ich	BLOB	anonymous	2018-01-25T12:21:20.237		0					3	0.185528756957328		BLOB	0	1	2	70	0	0	2	0	0	2	73	0	0	2	0	0	0	0	0	anonymous	2018-01-25T12:21:20.237
11	11	0	3	8					0	Ich	BLOB	anonymous	2018-01-25T12:21:25.629		0					3	0.185528756957328		BLOB	0	1	2	104	0	0	2	0	0	2	107	0	0	2	0	0	0	0	0	anonymous	2018-01-25T12:21:25.629
12	12	0	3	8					0	Ich	BLOB	anonymous	2018-01-25T12:21:33.892		0					3	0.185528756957328		BLOB	0	1	2	167	0	0	2	0	0	2	170	0	0	2	0	0	0	0	0	anonymous	2018-01-25T12:21:33.892
13	13	0	3	8					0	ich	BLOB	anonymous	2018-01-25T12:21:42.893		0					3	0.185528756957328		BLOB	0	1	2	192	0	0	2	0	0	2	195	0	0	2	0	0	0	0	0	anonymous	2018-01-25T12:21:42.893
14	14	0	3	8					0	Ich	BLOB	anonymous	2018-01-25T12:21:49.412		0					3	0.185528756957328		BLOB	0	1	2	336	0	0	2	0	0	2	339	0	0	2	0	0	0	0	0	anonymous	2018-01-25T12:21:49.412
15	15	0	4	1					0	ich	BLOB	anonymous	2018-01-25T12:22:19.083		0					3	0.00342680906962134		BLOB	0	1	100	43052	0	0	100	0	0	100	43055	0	0	100	0	0	0	0	0	anonymous	2018-01-25T12:22:19.083
16	16	0	4	8					0	Ich	BLOB	anonymous	2018-01-25T12:22:49.115		0					3	0.00342680906962134		BLOB	0	1	224	81746	0	0	224	0	0	224	81749	0	0	224	0	0	0	0	0	anonymous	2018-01-25T12:22:49.115
17	17	0	4	8					0	Ich	BLOB	anonymous	2018-01-25T12:23:30.017		0					3	0.00342680906962134		BLOB	0	1	225	81884	0	0	225	0	0	225	81887	0	0	225	0	0	0	0	0	anonymous	2018-01-25T12:23:30.017
18	18	0	4	8					0	ich	BLOB	anonymous	2018-01-25T12:23:39.442		0					3	0.00342680906962134		BLOB	0	1	230	82174	0	0	230	0	0	230	82177	0	0	230	0	0	0	0	0	anonymous	2018-01-25T12:23:39.442
19	19	0	4	8					0	ich	BLOB	anonymous	2018-01-25T12:23:45.089		0					3	0.00342680906962134		BLOB	0	1	231	82227	0	0	231	0	0	231	82230	0	0	231	0	0	0	0	0	anonymous	2018-01-25T12:23:45.089
20	20	0	4	8					0	ich	BLOB	anonymous	2018-01-25T12:24:06.808		0					3	0.00342680906962134		BLOB	0	1	249	83779	0	0	249	0	0	249	83782	0	0	249	0	0	0	0	0	anonymous	2018-01-25T12:24:06.808
21	21	0	4	8					0	Ich	BLOB	anonymous	2018-01-25T12:24:25.832		0					3	0.00342680906962134		BLOB	0	1	265	85157	0	0	265	0	0	265	85160	0	0	265	0	0	0	0	0	anonymous	2018-01-25T12:24:25.832
22	22	0	4	8					0	ich	BLOB	anonymous	2018-01-25T12:25:07.638		0					3	0.00342680906962134		BLOB	0	1	271	85676	0	0	271	0	0	271	85679	0	0	271	0	0	0	0	0	anonymous	2018-01-25T12:25:07.639
23	23	0	4	8					0	ich	BLOB	anonymous	2018-01-25T12:25:15.447		0					3	0.00342680906962134		BLOB	0	1	273	85912	0	0	273	0	0	273	85915	0	0	273	0	0	0	0	0	anonymous	2018-01-25T12:25:15.447
24	24	0	4	8					0	Ich	BLOB	anonymous	2018-01-25T12:25:27.446		0					3	0.00342680906962134		BLOB	0	1	277	86439	0	0	277	0	0	277	86442	0	0	277	0	0	0	0	0	anonymous	2018-01-25T12:25:27.446
25	25	0	4	8					0	ich	BLOB	anonymous	2018-01-25T12:25:34.622		0					3	0.00342680906962134		BLOB	0	1	281	86672	0	0	281	0	0	281	86675	0	0	281	0	0	0	0	0	anonymous	2018-01-25T12:25:34.622
26	26	0	6	8					0	Ich	BLOB	anonymous	2018-01-25T12:25:44.998		0					3	0.00462962962962963		BLOB	0	1	170	56959	0	0	170	0	0	170	56962	0	0	170	0	0	0	0	0	anonymous	2018-01-25T12:25:44.998
27	27	0	6	8					0	ich	BLOB	anonymous	2018-01-25T12:25:57.117		0					3	0.00462962962962963		BLOB	0	1	171	57032	0	0	171	0	0	171	57035	0	0	171	0	0	0	0	0	anonymous	2018-01-25T12:25:57.117
28	28	0	6	8					0	ich	BLOB	anonymous	2018-01-25T12:26:05.453		0					3	0.00462962962962963		BLOB	0	1	185	58789	0	0	185	0	0	185	58792	0	0	185	0	0	0	0	0	anonymous	2018-01-25T12:26:05.453
29	29	0	6	8					0	Ich	BLOB	anonymous	2018-01-25T12:26:20.341		0					3	0.00462962962962963		BLOB	0	1	197	59925	0	0	197	0	0	197	59928	0	0	197	0	0	0	0	0	anonymous	2018-01-25T12:26:20.341
30	30	0	6	8					0	ich	BLOB	anonymous	2018-01-25T12:26:26.748		0					3	0.00462962962962963		BLOB	0	1	197	60006	0	0	197	0	0	197	60009	0	0	197	0	0	0	0	0	anonymous	2018-01-25T12:26:26.748
31	31	0	6	8					0	ich	BLOB	anonymous	2018-01-25T12:26:57.476		0					3	0.00462962962962963		BLOB	0	1	198	60176	0	0	198	0	0	198	60179	0	0	198	0	0	0	0	0	anonymous	2018-01-25T12:26:57.476
32	32	0	6	8					0	Ich	BLOB	anonymous	2018-01-25T12:27:03.627		0					3	0.00462962962962963		BLOB	0	1	202	60862	0	0	202	0	0	202	60865	0	0	202	0	0	0	0	0	anonymous	2018-01-25T12:27:03.627
33	33	0	6	10					0	Ich	BLOB	anonymous	2018-01-25T12:27:08.923		0					3	0.00462962962962963		BLOB	0	1	202	60935	0	0	202	0	0	202	60938	0	0	202	0	0	0	0	0	anonymous	2018-01-25T12:27:08.923
34	34	0	6	10					0	ich	BLOB	anonymous	2018-01-25T12:27:15.659		0					3	0.00462962962962963		BLOB	0	1	202	60974	0	0	202	0	0	202	60977	0	0	202	0	0	0	0	0	anonymous	2018-01-25T12:27:15.659
35	35	0	6	8					0	ich	BLOB	anonymous	2018-01-25T12:27:21.387		0					3	0.00462962962962963		BLOB	0	1	203	61044	0	0	203	0	0	203	61047	0	0	203	0	0	0	0	0	anonymous	2018-01-25T12:27:21.387
