ID	Idx	GroupID	State	Type	Text	Name	Date	Codes	Memos	MemoID	Author	Size	DocType	MediaFileX	ScaleFactor	CodesWndWidth	ScrollPosPage	ScrollPosX	ScrollPosY	SelPage	SelX1	SelY1	SelX2	SelY2	ExtLink1	ExtLink2	ExtLink3	RIS-TY	RIS-AU	RIS-TI	RIS-ID	RIS-PY	Data	CodTemp	Data2	PlainTextWin	PlainTextMac	GeoLinkID	Color	LastChgUser	LastChgDate
1	330	0	0	0	BLOB	Abstract Poster_16-07-18_26-12-57_WB06	2018-01-18T12:05:06.050	0	0	0	anonymous	3387	0		1.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-03-31T22:24:18.370
2	277	0	0	0	BLOB	ABSTRACT_12-01-23_25-16-14_WB06	2018-01-18T12:05:20.150	5	0	0	anonymous	12094	0		0.999999940395355	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-02-08T15:31:42.902
3	278	0	0	0	BLOB	Abstract_15-10-22_12-10-45_WB06	2018-01-18T12:05:20.552	6	0	0	anonymous	2148	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:21:51.618
4	279	0	0	0	BLOB	Abstract-Zusammenhang-Einleitung-Forschungsstand_15-06-10_52-14	2018-01-18T12:05:21.092	11	0	0	anonymous	274950	0		0.999999940395355	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-02-08T15:31:45.449
5	280	0	0	0	BLOB	Arbeitspapier_12-05-30_31-23-46	2018-01-18T12:05:21.619	0	0	0	anonymous	14352	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:48.883
6	281	0	0	0	BLOB	Artikel-Forschungsstand_15-04-30_52-14-99_WB06	2018-01-18T12:05:22.122	23	0	0	anonymous	137521	0		0.999999940395355	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:31:44.418
7	282	0	0	0	BLOB	Aufgabe-Einleitung_12-09-29_11-13-38	2018-01-18T12:05:22.229	0	0	0	anonymous	1129206	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:13:19.494
8	283	0	0	0	BLOB	Aufgabe-Schreibberatung_13-04-08_21-02-74	2018-01-18T12:05:22.311	0	0	0	anonymous	1035569	1		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:13:19.812
9	284	0	0	0	BLOB	Aufgaben-Portofolio_15-01-29_21-02-74_SB01	2018-01-18T12:05:22.794	7	0	0	anonymous	12984	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:36:51.353
10	285	0	0	0	BLOB	BA_13-06-09_26-06-32_SB03	2018-01-18T12:05:23.202	2	0	0	anonymous	36251	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:38:19.966
11	286	0	0	0	BLOB	BA_14-08-11_05-18-57	2018-01-18T12:05:23.938	3	0	0	anonymous	60097	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:40:26.995
12	287	0	0	0	BLOB	BA_16-04-30_07-22-61_SB02	2018-01-18T12:05:24.422	0	0	0	anonymous	10992	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:49.290
13	288	0	0	0	BLOB	BA_FluchtundMigration_16-11-22_07-22-61_SB02	2018-01-18T12:05:24.921	0	0	0	anonymous	20384	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:49.327
14	289	0	0	0	BLOB	BA-2011-Edition_15-03-09_24-24-59_SB02	2018-01-18T12:05:26.747	15	0	0	anonymous	258003	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:46:11.742
15	290	0	0	0	BLOB	BA-Arbeit_11-12-10_20-12-91_SB25	2018-01-18T12:05:27.443	5	0	0	anonymous	15874	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:47:59.542
16	291	0	0	0	BLOB	BA-Arbeit_12-10-29_26-24-82_SB13_SB12	2018-01-18T12:05:27.977	1	0	0	anonymous	99935	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T12:48:34.224
17	292	0	0	0	BLOB	BA-Arbeit_13-06-03_28-17-44_SB01	2018-01-18T12:05:28.480	7	0	0	anonymous	30711	0		0.999999940395355	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T13:03:05.227
18	293	0	0	0	BLOB	BA-Entwicklungshilfe_13-10-14_01-25-17	2018-01-18T12:05:28.922	0	0	0	anonymous	15417	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:50.000
19	294	0	0	0	BLOB	BA-Experteninterview-Theorie-Methode_13-07-29_28-17-44	2018-01-18T12:05:29.387	7	0	0	anonymous	16743	0		0.999999940395355	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T13:07:42.334
20	295	0	0	0	BLOB	BA-Film_15-06-10_23-01-48_SB20	2018-01-18T12:05:30.011	3	0	0	anonymous	58666	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T13:08:59.019
21	296	0	0	0	BLOB	BA-final_14-12-08_04-13-10	2018-01-18T12:05:30.508	0	0	0	anonymous	30181	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:50.152
22	297	0	0	0	BLOB	BA-Flucht_16-10-18_07-22-61_SB02	2018-01-18T12:05:30.979	0	0	0	anonymous	12989	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:50.211
23	298	0	0	0	BLOB	BA-Flucht-und-Migration_16-10-03_07-22-61_SB02	2018-01-18T12:05:31.458	4	0	0	anonymous	13138	0		0.999999963320219	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-25T13:10:12.342
24	299	0	0	0	BLOB	BA-Formen-von-Gewalt_13-04-03_01-18-93_SB16	2018-01-18T12:05:31.940	0	0	0	anonymous	12557	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:50.280
25	300	0	0	0	BLOB	BA-Gehorsam_16-09-01_23-05-50_SB02	2018-01-18T12:05:32.387	0	0	0	anonymous	14357	0		0.0	0	0	0	0	0	0	0	0	0							0	0	BLOB	0	BLOB	BLOB	BLOB	0	4287664272	anonymous	2018-01-18T12:05:50.323
